case,elapsed_days,timestamp_utc,price_ETH,price_return
weak_entry_replenished_sellers,0.010416666666666666,2026-09-16T02:02:19+00:00,0.00010627917610074875,-0.00862636874061129
weak_entry_replenished_sellers,0.020833333333333332,2026-09-16T02:17:19+00:00,0.0001053669634656151,-0.01713550087498017
weak_entry_replenished_sellers,0.03125,2026-09-16T02:32:19+00:00,0.00010446729441071072,-0.025527626318696095
weak_entry_replenished_sellers,0.041666666666666664,2026-09-16T02:47:19+00:00,0.00010357978158029017,-0.033806358331534114
weak_entry_replenished_sellers,0.052083333333333336,2026-09-16T03:02:19+00:00,0.00010269445200838251,-0.04206472487863078
weak_entry_replenished_sellers,0.0625,2026-09-16T03:17:19+00:00,0.00010181091207283836,-0.05030639767286427
weak_entry_replenished_sellers,0.07291666666666667,2026-09-16T03:32:19+00:00,0.00010093918260778659,-0.05843790223425582
weak_entry_replenished_sellers,0.08333333333333333,2026-09-16T03:47:19+00:00,0.00010007829991596924,-0.06646822794421692
weak_entry_replenished_sellers,0.09375,2026-09-16T04:02:19+00:00,9.922902582139755e-05,-0.0743902684977863
weak_entry_replenished_sellers,0.10416666666666667,2026-09-16T04:17:19+00:00,9.839113215918912e-05,-0.08220615222015681
weak_entry_replenished_sellers,0.11458333333333333,2026-09-16T04:32:19+00:00,9.756443280962957e-05,-0.0899176152386103
weak_entry_replenished_sellers,0.125,2026-09-16T04:47:19+00:00,9.674833689207201e-05,-0.0975301692960302
weak_entry_replenished_sellers,0.13541666666666666,2026-09-16T05:02:19+00:00,9.594259736691629e-05,-0.10504611878123904
weak_entry_replenished_sellers,0.14583333333333334,2026-09-16T05:17:19+00:00,9.514749626380658e-05,-0.11246283291779757
weak_entry_replenished_sellers,0.15625,2026-09-16T05:32:19+00:00,9.436284727296894e-05,-0.11978204960586569
weak_entry_replenished_sellers,0.16666666666666666,2026-09-16T05:47:19+00:00,9.358846814603604e-05,-0.12700546886074582
weak_entry_replenished_sellers,0.17708333333333334,2026-09-16T06:02:19+00:00,9.282414565036062e-05,-0.1341350797195342
weak_entry_replenished_sellers,0.1875,2026-09-16T06:17:19+00:00,9.206972202804863e-05,-0.14117235375005832
weak_entry_replenished_sellers,0.19791666666666666,2026-09-16T06:32:19+00:00,9.132504622678046e-05,-0.14811869997045413
weak_entry_replenished_sellers,0.20833333333333334,2026-09-16T06:47:19+00:00,9.058995118212e-05,-0.15497567676010282
weak_entry_replenished_sellers,0.21875,2026-09-16T07:02:19+00:00,8.98642733940506e-05,-0.16174480924943135
weak_entry_replenished_sellers,0.22916666666666666,2026-09-16T07:17:19+00:00,8.914784414286687e-05,-0.16842767125819558
